Question;Answer 1 (correct);Answer 2;Answer 3;Answer 4;Link only https
Wie heißt unsere Galaxie?;Milchstraße;Sombrero;Sonnensystem;Andromeda;https://de.wikipedia.org/wiki/Milchstra%C3%9Fe
Der Schriftsteller und Dramatiker Rolf Hochhuth ist mit 89 Jahren verstorben.                                                                                                                                Mit welchem Debüt hatte er 1963 internationalen Erfolg und prägte das                                                                                                                         dokumentarische Theater?;"mit ""Der Stellvertreter""";"mit ""Guerillas""";"mit ""Juristen""";"mit ""Nachtmusik""";https://www.hdg.de/lemo/biografie/rolf-hochhuth.html
Welches der folgenden Länder grenzt nicht an Luxemburg?;Niederlande;Belgien;Deutschland;Frankreich;https://luxembourg.public.lu/de/gesellschaft-und-kultur/territoire-et-climat/territoire.html
"Woher stammt der Begriff ""Big Brother""?";"Roman ""1984"" von George Orwell";"Roman ""Schöne neue Welt"" von Aldous Huxley";"Film ""2001 - Odyssee im Weltraum""";"Serie ""Raumschiff Enterprise""";https://www.deutschlandfunkkultur.de/big-brother-is-watching-you.954.de.html?dram:article_id=144315
Was ist die Amtssprache in Argentinien?;Spanisch;Französisch;Englisch;Portugiesisch;https://www.papayatours.de/argentinien/kultur/
Welche Aufgabe hatte Gustave Eiffel bei der Erbauung des nach ihm benannten Eiffelturms in Paris?;Konstrukteur;Architekt;Eisenlieferant;Auftraggeber;https://www.gustave-eiffel-schule.de/geiffel.php
Die Katastrophe von Tschernobyl ereignete sich im Jahr …;1986;1979;1980;1992;https://www.lpb-bw.de/tschernobyl
"Was bedeutet die Abkürzung ""OHG""?";offene Handelsgesellschaft;ohne Handelsgesetz;offene Handelsgebiete;ohne Handlungsgrundlage;https://praxistipps.chip.de/was-ist-eine-ohg-einfach-erklaert_101135
Wo befindet sich der Vulkan Ätna?;Sizilien;Sardinien;Korsika;Balearen;https://www.italien.de/poi/aetna
In welchem Land übernahm Fidel Castro 1959 die Macht?;Kuba;Haiti;Venezuela;Jamaika;https://www.planet-schule.de/wissenspool/internationale-krisen-2016/inhalt/hintergrund/kuba/kuba-vor-der-krise.html
"Wer schrieb ""Die Schachnovelle""?";Zweig;Goethe;Heine;Schiller;https://www.inhaltsangabe.de/zweig/schachnovelle/
Wie Viele Zähne hat die Schildkröte?;keine;24;56;48;https://www.schildi24.de/allgemein/
Wie heißt der nach dem Baikalsee zweittiefste Süßwassersee der Welt? ;Tanganjikasee;Großer Bärensee;Michigansee;Aralsee;https://www.welt.de/welt_print/reise/article9407029/Die-tiefsten-Seen-der-Welt.html
Auf dem Cover welchen Albums laufen die Beatles über einen Zebrastreifen? ;Abbey Road;Rubber Soul;A Hard Day's Night;Sergeant Pepper;https://www.swr.de/swr1/bw/musik/abbey-road-100.html
Wie lautete der erste Satz, mit dem Alexander G. Bell der staunenden Öffentlichkeit das Telefon vorstellte?;"Mr. Watson, kommen Sie sofort, ich brauche Sie!""";"Es funktioniert Mr. Präsident!""";"Mary, können Sie mich jetzt hören?""";"Das blöde Ding funktioniert nicht!""";https://artsandculture.google.com/story/cAJSsxLLgTshIA?hl=de
